카테고리	사용범위	가능여부
문서작성	워드, PPT, HWP, 포토샵 등 문서, 이미지 문서	O
E-Learning	E-Learning 콘텐츠	O
E-Book	전자출판물	O
인쇄물	책, 잡지, 포스터, 명함, 광고물, 브로셔, 출판인쇄물	O
UI	Web, App/SW UI, 광고/배너 이미지, 콘텐츠 이미지	O
영상	영상 자막, 크레딧	O
포장지	판매 상품의 패키지 디자인	O
임베딩	HW 내 탑재, SW 내 탑재, 웹폰트 등 웹서버 탑재	O
CI/BI	회사 및 브랜드의 로고, 심볼, 슬로건, 상품명의 디자인	O
폰트 수정	폰트 파일의 수정 가능	X
폰트 배포	폰트 파일 배포 가능	O
폰트 판매	폰트 파일의 유료 판매 가능	X
